mtrl_nbr,matrl_typ,prod_hierarchy,fmly_nm,mtrl_grp,specie_nm,fmly_cd,mat_pric_grp,prod_typ_cd,covar_id,variety_nm,variety_cd,scnd_nm,variety_abbrv_cd,rprdctn_typ_nm,gnrtn_cd,basic_mtrl_nbr,basic_mtrl_dsc,semi_100_mtrl_nbr,semi_100_mtrl_dsc,pricing_ref_mtrl_nbr,phase_cd,base_uom_cd,brand_nm,pkg_uom_nm,pkg_uom_desc,pkg_dsc,pkg_typ_dsc,pkg_typ_nm,pkg_siz_nm,trtmnt_cd,trtmnt_dsc,trtmnt_long_dsc,carrier_dsc,seed_enhcmnt_cd,seed_enhcmnt_dsc,mod_dsc,seed_size_dsc,min_wgt_to_size_ratio,nbr_of_sizes_cnt,pllntr_nm,pllntr_abbrv,sllng_env_nm,sllng_env_desc,crop_cd,dffclt_to_prdc_cd,labeling_dsc,pre_prntd_pkg_dsc,matur_index_nbr,brdr_cd,short_mtrl_dsc,chng_dt,blndr_mtrl_dsc,sub_mrkt_nm,sub_sub_mrkt_nm,supply_chain_ownr_nm,pre_cmrcl_nm,shelf_life_days_cnt,royalty_cd,prev_nm_1,prev_nm_2,prev_nm_3,prev_nm_4,prev_nm_5,gross_mrgn_pct,old_mtr_nbr,criticality_nbr,mtrl_pricing_grp_dsc,prod_typ_dsc,gnrtn_nm,basic_tsw,semi_tsw,veg_male_prntl_mtrl_nbr,male_prntl_basic_mtrl_nbr,male_variety_nm,veg_female_prntl_mtrl_nbr,female_prntl_basic_mtrl_nbr,female_variety_nm,carrier_cd,aa_mtrl_cd,brnd_nm_desc,del_ind,futr_mtrl_ind,own_rgn_nm,prod_precmrcl_nm,df_mtrl_ind,scndry_vrty_nm,prod_fmly_cd,prod_fmly_nm,prod_grp_cd,mtrl_grp_desc,owning_segment,refresh_datetime
000000000012181478,HALB,Y6189HTSOPFBLK0600,SOLANACEOUS,H189,PEPPER,Y6,TS,BLK,88202709,ELDRIDGE,219164, ,ELDRIDGE,HYB,C,000000000012181478,VTS.ELDRIDGE.DRTY.100.000.000,000000000012181479,VTS.ELDRIDGE.SEMI.100.000.000,,5B,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,3.0,2,,,OPF,Open Field 1,083H, ,, ,0.0,,VTS.ELDRIDGE.DRTY.100.000.000,2025-02-27, ,,,OPN,10-8T-BLK-4227,, ,SV0628PB,,,,,P1,,,"HYB PEPPER, SWEET",Blocky,Commercial Seed,7.023,7.023,000000000012181403,12181397,SBR8T13-6192,000000000012181395,12181229,SBR8T13-6163,000,DRTY,S - SVS,,,NAM,,N-A,,Y6,SOLANACEOUS,H189,PEPPER,OPN,2025-05-15 00:10:02.592369+00:00
000000000012447640,HALB,Y6189HTSOPFBLK0600,SOLANACEOUS,H189,PEPPER,Y6,TS,BLK,106171909,PIEDONE,202638, ,PIEDONE,HYB,C,000000000012447640,VTS.PIEDONE.DRTY.100.000.000,000000000012447641,VTS.PIEDONE.SEMI.100.000.000,,5C,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,0.0,3,,,OPF,Open Field 1,083H, ,, ,0.0,,VTS.PIEDONE.DRTY.100.000.000,2025-02-27, ,,,OPN,15-E8-BLK-8043,, ,,,,,,P0,,,"HYB PEPPER, SWEET",Blocky,Commercial Seed,8.106,8.106,000000000012449536,12449530,SBR-E815-0177,000000000011849016,11849015,SBYXE11-0015GMS,000,DRTY,S - SVS,,,EMEA,,N-A,,Y6,SOLANACEOUS,H189,PEPPER,OPN,2025-05-15 00:10:02.592369+00:00
000000000030112298,HALB,Y6189HTSOPFBLK0600,SOLANACEOUS,H189,PEPPER,Y6,TS,BLK,153216209,YELLOWJEWEL,316745, ,YELLOWJEWEL,HYB,C,000000000030112298,VTS.YELLOWJEWEL.DRTY.100.000.000,000000000030112299,VTS.YELLOWJEWEL.SEMI.100.000.000,,5X,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,0.0,2,,,OPF,Open Field 1,083H, ,, ,0.0,,VTS.YELLOWJEWEL.DRTY.100.000.000,2025-02-27, ,,,OPN,19-8T-BLK-8919,, ,,,,,,P0,,,"HYB PEPPER, SWEET",Blocky,Commercial Seed,7.744,7.744,000000000012959442,12959436,SBY-8T18-6560,000000000030112267,30112261,SBY-E720-1105,000,DRTY,S - SVS,,,NAM,,N-A,,Y6,SOLANACEOUS,H189,PEPPER,OPN,2025-05-15 00:10:02.592369+00:00
000000000012181480,HALB,Y6189HTSOPFBLK0600,SOLANACEOUS,H189,PEPPER,Y6,TS,BLK,88152209,DUNBAR,218904, ,DUNBAR,HYB,C,000000000012181480,VTS.DUNBAR.DRTY.100.000.000,000000000012181481,VTS.DUNBAR.SEMI.100.000.000,,5C,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,3.0,2,,,OPF,Open Field 1,083H, ,, ,0.0,,VTS.DUNBAR.DRTY.100.000.000,2025-02-27, ,,,OPN,10-8T-BLK-4208,, ,SV5603PB,,,,,P1,,,"HYB PEPPER, SWEET",Blocky,Commercial Seed,7.274,7.274,000000000012181419,12181413,SBR8T13-6191,000000000012181411,12181405,SBR8T13-6165,000,DRTY,S - SVS,,,NAM,,N-A,,Y6,SOLANACEOUS,H189,PEPPER,OPN,2025-05-15 00:10:02.592369+00:00
000000000020016876,HALB,Y6189HTSOPFBLK0600,SOLANACEOUS,H189,PEPPER,Y6,TS,BLK,61186909,GREEN MACHINE,211814, ,GREEN MACHINE,HYB,C,000000000020016876,VTS.GREEN MACHINE.DRTY.100.000.000,000000000020016877,VTS.GREEN MACHINE.SEMI.100.000.000,,5C,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,3.0,2,,,OPF,Open Field 1,083H, ,, ,0.0,,VTS.GREEN MACHINE.DRTY.100.000.000,2025-01-06, ,,,OPN,10-HJ-BLK-0972,, ,,GREEN MACHINE,,,,P1,,,"HYB PEPPER, SWEET",Blocky,Commercial Seed,7.066,7.066,000000000020016891,20016888,SBR-E711411,000000000020016843,20016840,SBR-E711418,000,DRTY,S - SVS,,,NAM,,N-A,,Y6,SOLANACEOUS,H189,PEPPER,OPN,2025-05-15 00:10:02.592369+00:00
000000000030062681,HALB,Y6189HTSOPFBLK0600,SOLANACEOUS,H189,PEPPER,Y6,TS,BLK,151077609,YELLOWFIN,310178, ,YELLOWFIN,HYB,C,000000000030062681,VTS.YELLOWFIN.DRTY.100.000.000,000000000030062682,VTS.YELLOWFIN.SEMI.100.000.000,,5X,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,0.0,2,,,OPF,Open Field 1,083H, ,, ,0.0,,VTS.YELLOWFIN.DRTY.100.000.000,2025-02-27, ,,,OPN,18-E7-BLK-2713,, ,,,,,,P0,,,"HYB PEPPER, SWEET",Blocky,Commercial Seed,8.634,8.634,000000000012344022,12344016,SBYE714-0547,000000000030062384,30062378,SBY-E719-1050,000,DRTY,S - SVS,,,NAM,,N-A,,Y6,SOLANACEOUS,H189,PEPPER,OPN,2025-05-15 00:10:02.592369+00:00
000000000011985620,HALB,Y6189HTSOPFBLK0600,SOLANACEOUS,H189,PEPPER,Y6,TS,BLK,72967009,SV9699PB,122246, ,SV9699PB,HYB,C,000000000011985620,VTS.SV9699PB.DRTY.100.000.000,000000000011985621,VTS.SV9699PB.SEMI.100.000.000,,5B,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,3.0,2,,,OPF,Open Field 1,083H, ,, ,0.0,,VTS.SV9699PB.DRTY.100.000.000,2025-01-06, ,,,OPN,10-8T-BLK-3432,, ,,,,,,P1,,,"HYB PEPPER, SWEET",Blocky,Commercial Seed,6.813,6.813,000000000011985595,11985159,SBR8T11-6070,000000000011985605,11985599,SBR8T11-6065,000,DRTY,S - SVS,,,ANZ,,N-A,,Y6,SOLANACEOUS,H189,PEPPER,OPN,2025-05-15 00:10:02.592369+00:00
000000000030112302,HALB,Y6189HTSOPFHLG0600,SOLANACEOUS,H189,PEPPER,Y6,TS,HLG,153313909,RED MISSION,316746, ,RED MISSION,HYB,C,000000000030112302,VTS.RED MISSION.DRTY.100.000.000,000000000030112303,VTS.RED MISSION.SEMI.100.000.000,,5X,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,0.0,2,,,OPF,Open Field 1,083H, ,, ,0.0,,VTS.RED MISSION.DRTY.100.000.000,2025-02-27, ,,,OPN,19-8T-HLG-8928,, ,,,,,,P0,,,"HYB PEPPER, SWEET",Half Long,Commercial Seed,8.057,8.057,000000000012957888,12957882,SLR-8T18-6570,000000000030112277,30112271,SLR-8T20-6755,000,DRTY,S - SVS,,,NAM,,N-A,,Y6,SOLANACEOUS,H189,PEPPER,OPN,2025-05-15 00:10:02.592369+00:00
000000000012623381,HALB,Y6189HTSOPFHLG0600,SOLANACEOUS,H189,PEPPER,Y6,TS,HLG,123411709,LANDAU,241935, ,LANDAU,HYB,C,000000000012623381,VTS.LANDAU.DRTY.100.000.000,000000000012623382,VTS.LANDAU.SEMI.100.000.000,,5A,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,0.0,3,,,OPF,Open Field 1,083H, ,, ,0.0,,VTS.LANDAU.DRTY.100.000.000,2025-01-06, ,,,OPN,11-HJ-HLG-2490,, ,,,,,,P0,,,"HYB PEPPER, SWEET",Half Long,Commercial Seed,6.957,6.957,000000000012347493,12347487,SLRHJ14-3026,000000000012623338,12623332,SLR-HJ15-3061,000,DRTY,S - SVS,,,SAM,,N-A,,Y6,SOLANACEOUS,H189,PEPPER,OPN,2025-05-15 00:10:02.592369+00:00
000000000012112095,HALB,Y6189HTSOPFHLG0600,SOLANACEOUS,H189,PEPPER,Y6,TS,HLG,82337209,SV1634PH,139979, ,SV1634PH,HYB,C,000000000012112095,VTS.SV1634PH.DRTY.100.000.000,000000000012112096,VTS.SV1634PH.SEMI.100.000.000,,5B,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,3.0,3,,,OPF,Open Field 1,083H, ,, ,0.0,,VTS.SV1634PH.DRTY.100.000.000,2025-02-27, ,,,OPN,10-HJ-HLG-0885,, ,,,,,,P1,,,"HYB PEPPER, SWEET",Half Long,Commercial Seed,7.856,7.856,000000000012109605,12109599,SLR8T13-6157,000000000012109595,12109589,SLRHJ13-3006,000,DRTY,S - SVS,,,SAM,,N-A,,Y6,SOLANACEOUS,H189,PEPPER,OPN,2025-05-15 00:10:02.592369+00:00
